Nom de la société,Secteur d'activité,Taille de l'entreprise,Catégorie,Année de fondation,Adresse,Lien webs
MEZZO,call center / télévente,Plus de 500 employés,Société privée étrangère,2005,"12 Rue de l'électricité  ZI La Charguia, Ariana Ville, Ariana, 2035 Tunisie",http://www.somezzo.com
CRIT,recrutement / ressources humaines,Entre 20 et 100 employés,Société privée étrangère,,"05 Place Pasteur; Belvédère, tunis, Tunis, 1002 Tunisie",http://www.crit-tunisie.net
FILIASSUR TUNISIE,banque / finance / assurances,Entre 200 et 500 employés,Société privée étrangère,2006,"51 Rue des entrepreneurs,  LA CHARGUIA II, Ariana Ville, Ariana, 2035 Tunisie",https://www.facebook.com/FiliassurTunisie
ARMATIS TUNIS,call center / télévente,Entre 200 et 500 employés,Société privée étrangère,2006,"charguia  II, Ariana Ville, Ariana, 2035 Tunisie",https://emploi.armatis.com/
POULINA GROUP HOLDING,agriculture / agro-alimentaire / environnement,Plus de 500 employés,Société privée locale,,"G.P 1 Km 12 Ez-Zahra, Ezzahra, Ben Arous, 2034 Tunisie",
OUTSOURCIA,call center / télévente,Plus de 500 employés,Société privée étrangère,2006,"6 Rue des entrepreneurs, Charguia 2, La Soukra, Ariana, 2035 Tunisie",http://www.phoneact.com
ECG ASSURANCES,call center / télévente,Entre 100 et 200 employés,Société privée étrangère,2006,"15 Rue d'Irak Lafayette, Centre ville, Tunis, 1002 Tunisie",http://ecg-recrutement.com/taxonomy/term/1
BENETTON,artisanat / textile / cuir,Plus de 500 employés,Société privée étrangère,1994,"Rte de Sousse Oued Hamdoun, Sahline, Monastir, 5012 Tunisie",
SCET TUNISIE,consulting / étude / stratégie,Entre 100 et 200 employés,Société privée locale,,"2 rue Sahab Ibn Abbad, Cité Jardins - 1002 Tunis Belvédère - BP 16, 1002 Tunis, Cite El Khadra, Tunis, 1002 Tunisie",
FAURECIA INFORMATIQUE TUNISIE - FIT,informatique / télécoms,Entre 20 et 100 employés,Société privée étrangère,,"Centre Urbain Nord, Imm Cercle des bureaux, 7ème étage B7, Ariana Ville, Ariana, 2088 Tunisie",http://www.faurecia.com
SPB ISC,banque / finance / assurances,Entre 200 et 500 employés,Société privée étrangère,2007,"14, rue 8612 Zone Industrielle Charguia I 2035., Ariana Ville, Ariana, 2035 Tunisie",http://www.spb.eu
Manpower,recrutement / ressources humaines,Entre 20 et 100 employés,Société privée étrangère,,"Bizerte, Bizerte, Sfax, 1000 Tunisie",
Manpower,recrutement / ressources humaines,Entre 20 et 100 employés,Société privée étrangère,,"Bizerte, Bizerte, Bizerte, 1000 Tunisie",
ELEONETECH,électronique / électricité / énergie,Entre 200 et 500 employés,Société privée locale,,"El Azib - Menzel Djemil km9 Bizerte., El Alia, Bizerte, 7026 Tunisie",http://www.onetech-group.com/
OZEOL.,commerce / vente / distribution,Entre 200 et 500 employés,Société privée étrangère,2010,"Sousse, sahloul 4, Immeuble « Victory » Rue Safia Farhat à Salhoul 3 derrière café & Resto ""Matignon, Sousse Jaouhara, Sousse, 4054 Tunisie",http://www.ozeol.com/
PHARMAGHREB,santé / paramédical / optique,Entre 200 et 500 employés,Société privée locale,1987,"39, RUE DES ENTREPRENEURS CHARGUIA II 2080 ARIANA, Ariana Ville, Ariana, 2080 Tunisie",
GROUPE SOTUPA,commerce / vente / distribution,Plus de 500 employés,Société privée locale,1970,"Adresse : 52, Rue 8601 ZI CHARGUIA 1 - BP194, Tunis, Tunis, 1080 Tunisie",http://www.sotupa.com
ACTIVE CONTACT,call center / télévente,Entre 200 et 500 employés,Société privée locale,2006,"2 Rue de Guinée, Centre ville, Tunis, 1002 Tunisie",http://www.activecontact.fr
ALMAVIVA,call center / télévente,Entre 200 et 500 employés,Société privée étrangère,,"6 Rue du Métal Charguia 2 - Tunis Carthage, Cite El Khadra, Tunis, 2035 Tunisie",
DOMELEC,électronique / électricité / énergie,Entre 20 et 100 employés,Société privée locale,2008,"Charguia 1, Cite El Khadra, Tunis, 2046 Tunisie",http://www.domelec-tn.com
DOMOTECH,industrie électro-mécaniques,Entre 20 et 100 employés,Société privée locale,,"17 RUE DES AGHLABITES SUR BOULEVARD 7 NOVEMBRE, tunis, Tunis, 1004 Tunisie",
ETAI TUNISIE/INFOPRO DIGITAL,communication / publicité / média,Entre 200 et 500 employés,Société privée étrangère,,"13 BIS RUE DES ENTREPRENEURS .CHARGUIA 2 .TUNIS CARTHAGE, La Soukra, Ariana, 2035 Tunisie",http://www.infopro-digital.com/
CPN,enseignement / formation / puériculture,Moins de 20 employés,Société privée locale,2000,"228 rue 20 mars imm youssef gam, None, Sousse, 4070 Tunisie",http://www.cpn.tn
GOÛTINEL,agriculture / agro-alimentaire / environnement,Entre 20 et 100 employés,Société privée locale,,"Charguia 2, La Soukra, Ariana, 2035 Tunisie",http://www.goutinel.com
CONCENTRIX,call center / télévente,Plus de 500 employés,Société privée étrangère,2004,"CHARGUIA2 , 16 RUE DES MÉTIERS, La Soukra, Ariana, 2035 Tunisie",http://www.concentrix.com
METOS,call center / télévente,Entre 200 et 500 employés,Société privée étrangère,2006,"Rue de la clarté, El Omrane Superieur, Tunis, 2062 Tunisie",http://www.coriolis-service.fr/
HUTCHINSON,industrie électro-mécaniques,Plus de 500 employés,Société privée étrangère,2009,"ZI Sidi Abdelhamid, 4061, Sousse, Sousse Ville, Sousse, 4061 Tunisie",https://www.hutchinson.com/fr
